Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.38      2.58     0.01     1024     0.00     0.00  std::shared_ptr<Organism> std::allocate_shared<Organism, std::allocator<Organism>, std::shared_ptr<Organism>&>(std::allocator<Organism> const&, std::shared_ptr<Organism>&)
  0.38      2.59     0.01        1     0.01     0.01  std::_Head_base<1ul, std::default_delete<Threefry>, true>::_M_head(std::_Head_base<1ul, std::default_delete<Threefry>, true>&)
  0.38      2.60     0.01                             Dna::do_duplication(int, int, int)
  0.38      2.61     0.01                             std::_Sp_make_shared_tag::_S_ti()
  0.00      2.61     0.00 21722247     0.00     0.00  std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      2.61     0.00 21722247     0.00     0.00  std::__shared_ptr_access<Organism, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  0.00      2.61     0.00  6145632     0.00     0.00  Threefry::Gen::~Gen()
  0.00      2.61     0.00  4097920     0.00     0.00  std::pair<int const, signed char> const& std::forward<std::pair<int const, signed char> const&>(std::remove_reference<std::pair<int const, signed char> const&>::type&)
  0.00      2.61     0.00  4097632     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::operator[](unsigned long)
  0.00      2.61     0.00  4096816     0.00     0.00  std::remove_reference<Threefry::Gen>::type&& std::move<Threefry::Gen>(Threefry::Gen&&)
  0.00      2.61     0.00  3604346     0.00     0.00  __gthread_active_p()
  0.00      2.61     0.00  3326628     0.00     0.00  std::_Rb_tree<int, std::pair<int const, signed char>, std::_Select1st<std::pair<int const, signed char> >, std::less<int>, std::allocator<std::pair<int const, signed char> > >::_M_get_Node_allocator()
  0.00      2.61     0.00  3224793     0.00     0.00  std::remove_reference<Organism*&>::type&& std::move<Organism*&>(Organism*&)
  0.00      2.61     0.00  3072000     0.00     0.00  DnaMutator::hasMutate() const
  0.00      2.61     0.00  2506301     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, signed char> >::_M_ptr()
  0.00      2.61     0.00  2506301     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, signed char> >::_M_addr()
  0.00      2.61     0.00  2506301     0.00     0.00  std::_Rb_tree_node<std::pair<int const, signed char> >::_M_valptr()
  0.00      2.61     0.00  2152727     0.00     0.00  std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      2.61     0.00  2152727     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      2.61     0.00  2149862     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_swap(std::__shared_count<(__gnu_cxx::_Lock_policy)2>&)
  0.00      2.61     0.00  2099139     0.00     0.00  std::_List_iterator<MutationEvent*>::_List_iterator(std::__detail::_List_node_base*)
  0.00      2.61     0.00  2048817     0.00     0.00  std::unique_ptr<Threefry, std::default_delete<Threefry> >::get() const
  0.00      2.61     0.00  2048817     0.00     0.00  std::unique_ptr<Threefry, std::default_delete<Threefry> >::operator->() const
  0.00      2.61     0.00  2048817     0.00     0.00  std::__uniq_ptr_impl<Threefry, std::default_delete<Threefry> >::_M_ptr() const
  0.00      2.61     0.00  2048817     0.00     0.00  std::_Head_base<0ul, Threefry*, false>::_M_head(std::_Head_base<0ul, Threefry*, false> const&)
  0.00      2.61     0.00  2048817     0.00     0.00  std::_Tuple_impl<0ul, Threefry*, std::default_delete<Threefry> >::_M_head(std::_Tuple_impl<0ul, Threefry*, std::default_delete<Threefry> > const&)
  0.00      2.61     0.00  2048817     0.00     0.00  Threefry* const& std::__get_helper<0ul, Threefry*, std::default_delete<Threefry> >(std::_Tuple_impl<0ul, Threefry*, std::default_delete<Threefry> > const&)
  0.00      2.61     0.00  2048000     0.00     0.00  std::__cxx11::_List_base<MutationEvent*, std::allocator<MutationEvent*> >::_M_clear()
  0.00      2.61     0.00  2048000     0.00     0.00  std::__detail::_List_node_header::_M_init()
  0.00      2.61     0.00  2000933     0.00     0.00  std::shared_ptr<Organism>::operator=(std::shared_ptr<Organism> const&)
  0.00      2.61     0.00  2000933     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::operator=(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
  0.00      2.61     0.00  1979786     0.00     0.00  operator new(unsigned long, void*)
  0.00      2.61     0.00  1939073     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      2.61     0.00  1853920     0.00     0.00  __gnu_cxx::__exchange_and_add_single(int*, int)
  0.00      2.61     0.00  1853920     0.00     0.00  __gnu_cxx::__exchange_and_add_dispatch(int*, int)
  0.00      2.61     0.00  1802173     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00      2.61     0.00  1759682     0.00     0.00  __gnu_cxx::__normal_iterator<RNA**, std::vector<RNA*, std::allocator<RNA*> > >::base() const
  0.00      2.61     0.00  1750426     0.00     0.00  __gnu_cxx::__atomic_add_single(int*, int)
  0.00      2.61     0.00  1750426     0.00     0.00  __gnu_cxx::__atomic_add_dispatch(int*, int)
  0.00      2.61     0.00  1750426     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_add_ref_copy()
  0.00      2.61     0.00  1496015     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, signed char> >::_M_ptr() const
  0.00      2.61     0.00  1496015     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, signed char> >::_M_addr() const
  0.00      2.61     0.00  1496015     0.00     0.00  std::_Rb_tree_node<std::pair<int const, signed char> >::_M_valptr() const
  0.00      2.61     0.00  1077796     0.00     0.00  std::shared_ptr<Organism>::~shared_ptr()
  0.00      2.61     0.00  1075139     0.00     0.00  std::__cxx11::list<MutationEvent*, std::allocator<MutationEvent*> >::end()
  0.00      2.61     0.00  1074931     0.00     0.00  std::shared_ptr<Organism>::operator=(std::shared_ptr<Organism>&&)
  0.00      2.61     0.00  1074931     0.00     0.00  std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>::swap(std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>&)
  0.00      2.61     0.00  1074931     0.00     0.00  std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>&&)
  0.00      2.61     0.00  1074931     0.00     0.00  std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>::operator=(std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>&&)
  0.00      2.61     0.00  1074931     0.00     0.00  std::remove_reference<std::shared_ptr<Organism>&>::type&& std::move<std::shared_ptr<Organism>&>(std::shared_ptr<Organism>&)
  0.00      2.61     0.00  1074931     0.00     0.00  std::remove_reference<std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>&>::type&& std::move<std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>&>(std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>&)
  0.00      2.61     0.00  1074931     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<Organism*> >, std::is_move_constructible<Organism*>, std::is_move_assignable<Organism*> >::value, void>::type std::swap<Organism*>(Organism*&, Organism*&)
  0.00      2.61     0.00  1026049     0.00     0.00  std::shared_ptr<Organism>::shared_ptr()
  0.00      2.61     0.00  1026049     0.00     0.00  std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>::__shared_ptr()
  0.00      2.61     0.00  1024000     0.00     0.00  DnaMutator::DnaMutator(Threefry::Gen*, int, double)
  0.00      2.61     0.00  1024000     0.00     0.00  DnaMutator::~DnaMutator()
  0.00      2.61     0.00  1024000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<MutationEvent*> >::new_allocator()
  0.00      2.61     0.00  1024000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<MutationEvent*> >::~new_allocator()
  0.00      2.61     0.00  1024000     0.00     0.00  std::allocator<std::_List_node<MutationEvent*> >::allocator()
  0.00      2.61     0.00  1024000     0.00     0.00  std::allocator<std::_List_node<MutationEvent*> >::~allocator()
  0.00      2.61     0.00  1024000     0.00     0.00  std::shared_ptr<Organism>::shared_ptr(decltype(nullptr))
  0.00      2.61     0.00  1024000     0.00     0.00  std::__cxx11::_List_base<MutationEvent*, std::allocator<MutationEvent*> >::_List_impl::_List_impl()
  0.00      2.61     0.00  1024000     0.00     0.00  std::__cxx11::_List_base<MutationEvent*, std::allocator<MutationEvent*> >::_List_impl::~_List_impl()
  0.00      2.61     0.00  1024000     0.00     0.00  std::__cxx11::_List_base<MutationEvent*, std::allocator<MutationEvent*> >::_M_init()
  0.00      2.61     0.00  1024000     0.00     0.00  std::__cxx11::_List_base<MutationEvent*, std::allocator<MutationEvent*> >::_List_base()
  0.00      2.61     0.00  1024000     0.00     0.00  std::__cxx11::_List_base<MutationEvent*, std::allocator<MutationEvent*> >::~_List_base()
  0.00      2.61     0.00  1024000     0.00     0.00  std::__cxx11::list<MutationEvent*, std::allocator<MutationEvent*> >::clear()
  0.00      2.61     0.00  1024000     0.00     0.00  std::__cxx11::list<MutationEvent*, std::allocator<MutationEvent*> >::~list()
  0.00      2.61     0.00  1024000     0.00     0.00  std::__detail::_List_node_header::_List_node_header()
  0.00      2.61     0.00  1020561     0.00     0.00  std::_Rb_tree<int, std::pair<int const, signed char>, std::_Select1st<std::pair<int const, signed char> >, std::less<int>, std::allocator<std::pair<int const, signed char> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      2.61     0.00   974093     0.00     0.00  Organism::reset_mutation_stats()
  0.00      2.61     0.00   941248     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      2.61     0.00   884671     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      2.61     0.00   879841     0.00     0.00  bool __gnu_cxx::operator!=<RNA**, std::vector<RNA*, std::allocator<RNA*> > >(__gnu_cxx::__normal_iterator<RNA**, std::vector<RNA*, std::allocator<RNA*> > > const&, __gnu_cxx::__normal_iterator<RNA**, std::vector<RNA*, std::allocator<RNA*> > > const&)
  0.00      2.61     0.00   879841     0.00     0.00  std::operator!=(std::_Rb_tree_iterator<std::pair<int const, signed char> > const&, std::_Rb_tree_iterator<std::pair<int const, signed char> > const&)
  0.00      2.61     0.00   842987     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, signed char> >::operator*() const
  0.00      2.61     0.00   831657     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, signed char> > >::deallocate(std::_Rb_tree_node<std::pair<int const, signed char> >*, unsigned long)
  0.00      2.61     0.00   831657     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, signed char> > >::destroy<std::pair<int const, signed char> >(std::pair<int const, signed char>*)
  0.00      2.61     0.00   831657     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, signed char> > >::allocate(unsigned long, void const*)
  0.00      2.61     0.00   831657     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, signed char> > >::max_size() const
  0.00      2.61     0.00   831657     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, signed char> > > >::deallocate(std::allocator<std::_Rb_tree_node<std::pair<int const, signed char> > >&, std::_Rb_tree_node<std::pair<int const, signed char> >*, unsigned long)
  0.00      2.61     0.00   831657     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, signed char> > > >::destroy<std::pair<int const, signed char> >(std::allocator<std::_Rb_tree_node<std::pair<int const, signed char> > >&, std::pair<int const, signed char>*)
  0.00      2.61     0.00   831657     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, signed char> > > >::allocate(std::allocator<std::_Rb_tree_node<std::pair<int const, signed char> > >&, unsigned long)
  0.00      2.61     0.00   831657     0.00     0.00  std::_Rb_tree<int, std::pair<int const, signed char>, std::_Select1st<std::pair<int const, signed char> >, std::less<int>, std::allocator<std::pair<int const, signed char> > >::_M_get_node()
  0.00      2.61     0.00   831657     0.00     0.00  std::_Rb_tree<int, std::pair<int const, signed char>, std::_Select1st<std::pair<int const, signed char> >, std::less<int>, std::allocator<std::pair<int const, signed char> > >::_M_put_node(std::_Rb_tree_node<std::pair<int const, signed char> >*)
  0.00      2.61     0.00   831657     0.00     0.00  std::_Rb_tree<int, std::pair<int const, signed char>, std::_Select1st<std::pair<int const, signed char> >, std::less<int>, std::allocator<std::pair<int const, signed char> > >::_M_drop_node(std::_Rb_tree_node<std::pair<int const, signed char> >*)
  0.00      2.61     0.00   831657     0.00     0.00  std::_Rb_tree<int, std::pair<int const, signed char>, std::_Select1st<std::pair<int const, signed char> >, std::less<int>, std::allocator<std::pair<int const, signed char> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<int const, signed char> >*)
  0.00      2.61     0.00   828094     0.00     0.00  RNA::RNA(int, int, double, int)
  0.00      2.61     0.00   828094     0.00     0.00  RNA::~RNA()
  0.00      2.61     0.00   828094     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      2.61     0.00   828094     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      2.61     0.00   828094     0.00     0.00  __gnu_cxx::__normal_iterator<RNA**, std::vector<RNA*, std::allocator<RNA*> > >::operator++()
  0.00      2.61     0.00   828094     0.00     0.00  __gnu_cxx::__normal_iterator<RNA**, std::vector<RNA*, std::allocator<RNA*> > >::operator*() const
  0.00      2.61     0.00   828094     0.00     0.00  std::allocator<int>::allocator()
  0.00      2.61     0.00   828094     0.00     0.00  std::allocator<int>::~allocator()
  0.00      2.61     0.00   828094     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      2.61     0.00   828094     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      2.61     0.00   828094     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      2.61     0.00   828094     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      2.61     0.00   828094     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      2.61     0.00   828094     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      2.61     0.00   828094     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, signed char> >::operator++()
  0.00      2.61     0.00   828094     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      2.61     0.00   828094     0.00     0.00  std::fabs(float)
  0.00      2.61     0.00   828094     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      2.61     0.00   828094     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      2.61     0.00   819584     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, signed char> > >::construct<std::pair<int const, signed char>, std::pair<int const, signed char> const&>(std::pair<int const, signed char>*, std::pair<int const, signed char> const&)
  0.00      2.61     0.00   819584     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, signed char> > > >::construct<std::pair<int const, signed char>, std::pair<int const, signed char> const&>(std::allocator<std::_Rb_tree_node<std::pair<int const, signed char> > >&, std::pair<int const, signed char>*, std::pair<int const, signed char> const&)
  0.00      2.61     0.00   819584     0.00     0.00  std::_Rb_tree_node<std::pair<int const, signed char> >* std::_Rb_tree<int, std::pair<int const, signed char>, std::_Select1st<std::pair<int const, signed char> >, std::less<int>, std::allocator<std::pair<int const, signed char> > >::_M_create_node<std::pair<int const, signed char> const&>(std::pair<int const, signed char> const&)
  0.00      2.61     0.00   819584     0.00     0.00  std::_Rb_tree<int, std::pair<int const, signed char>, std::_Select1st<std::pair<int const, signed char> >, std::less<int>, std::allocator<std::pair<int const, signed char> > >::_Reuse_or_alloc_node::_M_extract()
  0.00      2.61     0.00   819584     0.00     0.00  std::_Rb_tree_node<std::pair<int const, signed char> >* std::_Rb_tree<int, std::pair<int const, signed char>, std::_Select1st<std::pair<int const, signed char> >, std::less<int>, std::allocator<std::pair<int const, signed char> > >::_Reuse_or_alloc_node::operator()<std::pair<int const, signed char> const&>(std::pair<int const, signed char> const&)
  0.00      2.61     0.00   819584     0.00     0.00  std::_Rb_tree<int, std::pair<int const, signed char>, std::_Select1st<std::pair<int const, signed char> >, std::less<int>, std::allocator<std::pair<int const, signed char> > >::_S_left(std::_Rb_tree_node_base const*)
  0.00      2.61     0.00   676431     0.00     0.00  std::_Select1st<std::pair<int const, signed char> >::operator()(std::pair<int const, signed char> const&) const
  0.00      2.61     0.00   676431     0.00     0.00  std::_Rb_tree<int, std::pair<int const, signed char>, std::_Select1st<std::pair<int const, signed char> >, std::less<int>, std::allocator<std::pair<int const, signed char> > >::_S_key(std::_Rb_tree_node<std::pair<int const, signed char> > const*)
  0.00      2.61     0.00   664928     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
  0.00      2.61     0.00   524987     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      2.61     0.00   522527     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, Protein*> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      2.61     0.00   460999     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, signed char> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      2.61     0.00   399256     0.00     0.00  std::shared_ptr<Organism> const& std::forward<std::shared_ptr<Organism> const&>(std::remove_reference<std::shared_ptr<Organism> const&>::type&)
  0.00      2.61     0.00   396132     0.00     0.00  std::_Rb_tree<int, std::pair<int const, signed char>, std::_Select1st<std::pair<int const, signed char> >, std::less<int>, std::allocator<std::pair<int const, signed char> > >::_S_right(std::_Rb_tree_node_base const*)
  0.00      2.61     0.00   362229     0.00     0.00  std::vector<RNA*, std::allocator<RNA*> >::size() const
  0.00      2.61     0.00   358529     0.00     0.00  std::vector<Protein*, std::allocator<Protein*> >::size() const
  0.00      2.61     0.00   339462     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      2.61     0.00   334684     0.00     0.00  Dna::protein_stop(int)
  0.00      2.61     0.00   323520     0.00     0.00  std::piecewise_construct_t const& std::forward<std::piecewise_construct_t const&>(std::remove_reference<std::piecewise_construct_t const&>::type&)
  0.00      2.61     0.00   323520     0.00     0.00  std::tuple<>&& std::forward<std::tuple<> >(std::remove_reference<std::tuple<> >::type&)
  0.00      2.61     0.00   323520     0.00     0.00  std::tuple<int const&>&& std::forward<std::tuple<int const&> >(std::remove_reference<std::tuple<int const&> >::type&)
  0.00      2.61     0.00   315702     0.00     0.00  std::vector<Protein*, std::allocator<Protein*> >::operator[](unsigned long)
  0.00      2.61     0.00   309666     0.00     0.00  std::_Rb_tree_header::_M_reset()
  0.00      2.61     0.00   299139     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      2.61     0.00   261263     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Protein*>, std::_Select1st<std::pair<int const, Protein*> >, std::less<int>, std::allocator<std::pair<int const, Protein*> > >::_M_end()
  0.00      2.61     0.00   258735     0.00     0.00  __gnu_cxx::new_allocator<RNA*>::max_size() const
  0.00      2.61     0.00   255035     0.00     0.00  __gnu_cxx::new_allocator<Protein*>::max_size() const
  0.00      2.61     0.00   226308     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      2.61     0.00   218302     0.00     0.00  std::_Rb_tree<int, std::pair<int const, signed char>, std::_Select1st<std::pair<int const, signed char> >, std::less<int>, std::allocator<std::pair<int const, signed char> > >::_M_end()
  0.00      2.61     0.00   216648     0.00     0.00  __gnu_cxx::__normal_iterator<Protein**, std::vector<Protein*, std::allocator<Protein*> > >::base() const
  0.00      2.61     0.00   210527     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Protein*>, std::_Select1st<std::pair<int const, Protein*> >, std::less<int>, std::allocator<std::pair<int const, Protein*> > >::end()
  0.00      2.61     0.00   210524     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Protein*>, std::_Select1st<std::pair<int const, Protein*> >, std::less<int>, std::allocator<std::pair<int const, Protein*> > >::_M_get_Node_allocator()
  0.00      2.61     0.00   208633     0.00     0.00  std::operator==(std::_Rb_tree_iterator<std::pair<int const, Protein*> > const&, std::_Rb_tree_iterator<std::pair<int const, Protein*> > const&)
  0.00      2.61     0.00   207748     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Protein*>, std::_Select1st<std::pair<int const, Protein*> >, std::less<int>, std::allocator<std::pair<int const, Protein*> > >::_M_begin()
  0.00      2.61     0.00   206988     0.00     0.00  __gnu_cxx::new_allocator<Organism>::~new_allocator()
  0.00      2.61     0.00   206988     0.00     0.00  std::_Vector_base<RNA*, std::allocator<RNA*> >::_M_get_Tp_allocator() const
